id,sentence
0,fireplace scrooge
0,family scrooge
0,family reindeer
0,scrooge reindeer
0,scrooge fireplace
0,reindeer family
0,family fireplace
0,fireplace reindeer
0,reindeer fireplace
0,scrooge family
0,reindeer scrooge
0,fireplace family
1,reindeer give jump
1,reindeer give night
1,family give sleep
1,bake give reindeer
1,laugh give reindeer
1,fireplace give bake
1,sleep give jump
1,jump give drive
1,reindeer give family
1,family give night
1,night give laugh
1,sleep give drive
1,sleep give laugh
1,night give bake
1,laugh give jump
1,reindeer give laugh
1,reindeer give drive
1,bake give family
1,jump give sleep
1,family give reindeer
1,fireplace give night
1,jump give night
1,drive give family
1,laugh give night
1,bake give drive
1,sleep give bake
1,sleep give fireplace
1,laugh give sleep
1,fireplace give laugh
1,laugh give family
1,reindeer give fireplace
1,fireplace give sleep
1,bake give night
1,fireplace give reindeer
1,drive give fireplace
1,fireplace give drive
1,night give fireplace
1,night give jump
1,family give jump
1,bake give jump
1,night give family
1,bake give fireplace
1,reindeer give sleep
1,family give drive
1,family give laugh
1,jump give reindeer
1,night give reindeer
1,drive give night
1,sleep give reindeer
1,drive give reindeer
1,fireplace give family
1,laugh give bake
1,bake give laugh
1,family give bake
1,reindeer give bake
1,laugh give fireplace
1,sleep give night
1,drive give sleep
1,family give fireplace
1,drive give laugh
1,sleep give family
1,night give drive
1,jump give bake
1,jump give fireplace
1,jump give laugh
1,jump give family
1,bake give sleep
1,drive give jump
1,night give sleep
1,laugh give drive
1,fireplace give jump
1,drive give bake
2,carol yuletide holiday
2,ornament cheer carol
2,ornament yuletide stocking
2,beard cheer decorations
2,ornament yuletide carol
2,beard cheer ornament
2,beard yuletide decorations
2,gifts yuletide ornament
2,beard cheer gifts
2,holiday cheer beard
2,holiday yuletide carol
2,holiday yuletide stocking
2,stocking yuletide carol
2,stocking cheer ornament
2,decorations cheer stocking
2,holiday yuletide decorations
2,stocking cheer decorations
2,ornament yuletide decorations
2,carol yuletide beard
2,decorations cheer ornament
2,carol cheer ornament
2,gifts yuletide holiday
2,gifts yuletide stocking
2,holiday yuletide beard
2,beard yuletide holiday
2,gifts yuletide beard
2,holiday yuletide gifts
2,holiday cheer decorations
2,beard yuletide ornament
2,stocking yuletide holiday
2,carol cheer gifts
2,stocking yuletide ornament
2,beard cheer carol
2,decorations cheer holiday
2,carol yuletide ornament
2,decorations yuletide carol
2,gifts yuletide decorations
2,carol yuletide decorations
2,stocking yuletide decorations
2,ornament cheer decorations
2,decorations cheer gifts
2,holiday cheer carol
2,holiday cheer gifts
2,gifts cheer carol
2,stocking cheer carol
2,ornament cheer holiday
2,gifts cheer stocking
2,gifts yuletide carol
2,ornament cheer beard
2,carol cheer beard
2,carol yuletide gifts
2,carol cheer holiday
2,gifts cheer ornament
2,holiday yuletide ornament
2,carol cheer decorations
2,stocking cheer holiday
2,stocking cheer gifts
2,decorations cheer carol
2,carol cheer stocking
2,decorations yuletide gifts
2,stocking cheer beard
2,ornament yuletide holiday
2,holiday cheer stocking
